Mexican data set (Lawton et al. 2009),1 sigma,"Mogollon Highlands (Laskowski et al., 2013)",1 sigma,TSA3 Composite (May et al. 2013),1 sigma,Arc Laskowski et al. 2013,1 sigma,Mesozoic Eolianites,1 sigma,late Paleozoic Appalachian basin Washington Fm,1 sigma
72.4,1,72,0.9,64.24549288,2.850165442,45.7,0.6,250.1,2.5,1620.7,51.5
73.1,3.9,72.3,2.8,66.84827501,3.931987087,45.9,0.7,250.1,3.2,2219.3,52.9
73.3,0.7,73,1.4,67.33359139,3.371806296,45.9,0.9,250.2,19.5,314.5,13.1
76,1.1,75.1,1.4,71.94171064,6.14033326,46.5,1.4,251.1,5,348.5,11.6
76.5,1.4,76.2,0.8,74.75774113,6.94619268,46.6,0.7,251.2,5,354.9,10.3
76.6,1.2,77.5,1.5,75.70184568,3.150771664,46.7,0.7,253,4.5,364.8,28.4
77,1.4,77.9,7.7,76.03445246,4.733793354,46.8,0.7,253.5,9.3,373.6,16.7
77.5,0.8,78.3,1.2,78.35754784,2.221261253,46.9,1,253.8,3.3,384.4,7.1
77.9,0.8,78.5,1.4,85.23142165,4.173649032,46.9,1,255.4,5,388.7,20.8
79.4,1.6,79,3.2,87.07868619,4.551057258,47,0.7,256.5,2.4,393.2,21.5
80.4,1.2,79.3,2,90.22203546,4.891302202,47.1,1.3,259.4,5,396,15.8
84.1,1.2,79.5,1.2,90.88071648,4.122431852,47.3,0.5,260.8,2.7,421.7,16.8
88.6,1.1,80.4,1,90.89485186,3.845705407,47.3,1.8,261.3,3.5,424.8,16.2
90.6,0.9,83.4,0.4,91.89734054,2.755160643,47.4,0.9,261.6,4.2,432.2,27.4
90.7,0.9,84.3,1.9,92.15397451,4.160055095,47.5,1,262.5,4.3,444.6,14.8
91.9,1,84.3,1.1,92.65597775,1.634768087,47.5,0.7,265.6,2.8,541.4,60.3
92.2,0.9,84.4,0.4,95.32360415,2.88135065,47.5,0.9,266.1,3.6,564,20
96.6,2,84.5,3.3,95.61871788,1.17896569,47.6,0.5,268,4.5,649.9,13.3
96.7,2.4,86.1,2,97.12790837,5.110467783,47.8,0.5,268.4,3.6,676.7,58.8
97.3,1,86.3,4.2,140.7456582,3.964922442,47.9,0.7,269.2,5.2,713.9,18.3
97.6,1.9,86.9,0.7,150.4667097,3.72959598,47.9,0.9,272.7,2.8,729.2,71.5
98.7,1.4,87,1.7,365.8336069,9.937188897,47.9,0.5,272.7,6.7,745.2,11.9
99.4,1,88.2,2,373.5956222,16.82979767,47.9,0.4,273.4,3.1,778,11.3
107.9,1.1,88.4,1.4,418.9691669,8.403874253,47.9,0.6,274.4,3.7,895.5,38.3
108.2,1.3,89.1,2,484.1844244,11.54799911,48,0.3,278,9.4,909,20.5
112.5,1.1,90.2,1.6,639.6068991,13.46170971,48.2,0.6,280.4,4,921.4,41.4
114.3,1.9,91.3,1,1056.629371,23.92643494,48.3,0.3,281.5,4.9,931.7,13
129.9,3.3,91.9,2.5,1130.571166,21.93870282,48.3,1.5,283.4,15.4,945.2,14.7
130.5,5.1,91.9,1,1294.424295,27.90158021,48.3,0.5,286.1,5.9,952.3,22.3
131.8,1.4,93,2.2,1314.789019,26.32901655,48.4,0.7,287.2,8.6,953.4,45.7
132.1,2.8,93.9,1.6,1386.272783,6.344174597,48.4,0.4,289.1,4.7,964.6,61.5
134,2.3,94,1.8,1388.841635,39.12898035,48.4,0.8,289.4,6.8,997.3,36.4
134.7,1.3,94,2.8,1415.480222,19.75510742,48.6,3.5,291.8,3,1020.9,19.8
141,1.8,95,3.5,1439.453531,36.06338169,48.7,0.8,293.5,18.7,1029.4,68.1
144.1,3.2,95.8,2.8,1442.108989,17.85154801,48.9,1,294.4,3.4,1031.3,24.9
147.2,3.2,95.9,2.4,1482.241237,32.23992168,49.1,0.5,295,2.9,1033.7,48.7
153.2,1.6,96.1,3.4,1521.595399,15.28446375,49.2,0.5,295.3,8.1,1047.2,31.2
162.4,1.6,96.3,1.9,1529.201591,31.2175233,49.2,0.7,296.4,19.6,1048.1,20.9
165.2,1.6,96.4,2.2,1595.976734,18.61513893,49.3,0.7,300.2,7.5,1049.9,42.6
166.4,1.6,96.7,1.7,1605.111823,22.96143362,49.4,1.1,304.4,9.5,1059.1,22
167.4,1.9,96.8,1.4,1608.27676,7.573394856,49.8,0.5,305,7.8,1059.6,35.6
171.4,3.6,97.3,1.7,1610.382242,48.07329123,50,0.6,308,4.9,1075.3,63.1
179.3,5.8,97.5,2.2,1621.087663,14.43206214,50.1,0.5,309.9,13.4,1077,24.6
179.4,2.1,97.7,1,1652.128359,15.54762366,50.1,0.7,310.9,6.4,1080.1,48
179.8,3.5,97.9,1.1,1653.665136,12.19200704,50.2,2.4,311.5,4.6,1081.7,24.4
180.9,1.8,98,1.5,1662.191587,90.57464213,50.4,0.4,317.4,4.9,1085.8,41.3
182.6,1.8,98.1,2.4,1665.95893,6.752006889,50.4,0.6,318.9,3.1,1088.6,32
184.3,5.4,98.4,1.7,1688.86455,9.95918605,51.3,0.9,321.9,10.5,1094.6,42.2
194.3,1.9,98.4,1.7,1706.270303,5.756413816,51.6,0.3,322.4,14.8,1096.1,58
197.9,1.9,98.5,1.6,1706.667378,9.54076245,66.1,1.7,325.1,3.4,1098.9,22.3
201.1,2,98.8,0.9,1712.681097,10.86264381,66.4,5.1,325.3,3.2,1108.8,31.1
214.5,3.7,99,5.6,1714.099343,7.285413441,67.8,3.9,327.1,6.2,1113.3,23.8
265.2,3.8,100,2.4,1714.914809,12.02760764,68.4,2.4,327.2,3.6,1114.8,11.9
320.1,3.1,100.7,0.5,1715.887351,3.654489172,68.4,1.3,327.7,8,1117,85.4
460.9,4.4,101.2,2.9,1716.143078,6.459024632,68.4,1.8,332.2,12.1,1135.2,32.2
495.2,4.8,101.4,3.8,1717.18108,12.62229923,68.5,3.3,332.8,7.1,1144.3,25.2
513.8,17.1,102.8,2,1717.579386,18.36581003,68.6,1.2,334.3,20.9,1149.8,25
985.2,39.2,103.3,0.8,1721.894857,15.39378091,68.7,1.2,336.8,4.2,1160.7,23.4
1061.1,100,103.9,1.2,1722.636854,9.723057906,69.2,1.3,337,3.4,1165.4,14.8
1117.5,104.4,105.1,0.7,1723.389469,11.14220422,69.7,1.1,337.5,4.4,1171,53
1123.4,31.9,105.3,5.1,1723.946061,10.58165254,69.8,1.7,340.5,11.4,1176.8,78.9
1138.3,93,107,2.5,1725.304661,11.96739147,69.9,0.9,341.2,6.4,1200.6,55.2
1175.4,57.6,113.8,1.1,1727.229979,4.76488952,69.9,1.8,343.4,17.2,1204.7,41.8
1203,32.1,130.6,5.5,1727.972314,6.721152864,70.1,2.5,346.7,5.2,1206.1,18.1
1327.2,75.9,131.9,0.8,1730.199406,25.41493218,70.1,1.9,348,9.5,1214.4,52
1391.6,52,138.6,3.1,1731.264046,5.260241466,70.2,1,349.3,9.7,1230.2,28.3
1437.3,102.7,142.9,2,1735.987402,11.815507,70.3,2.7,350.6,13.7,1235.6,26.5
1450.9,49.7,143.5,2.2,1735.988379,14.40760463,70.3,1.5,350.7,4.8,1263.2,103.9
1483.6,59.3,143.8,2.6,1736.104401,9.744035482,70.4,1.8,351,15.4,1266.9,50.7
1486.4,66.7,144.1,4.6,1739.657058,12.401139,70.4,1.7,351.8,4.8,1284.7,41.6
1538,78.3,144.1,0.7,1741.416884,5.309653457,70.4,1.9,353,3.4,1306.8,29.3
1689.9,53.1,144.9,3.3,1746.645926,5.401295262,70.5,1.7,353.9,7.4,1311.8,28.7
1708.2,75.9,146.2,1.7,1755.198765,17.57435557,70.6,0.8,357.1,3.7,1353,70.4
1708.5,32.4,147,2.7,1756.917426,13.17548058,70.7,2.2,358.2,6.2,1362.2,91
1710.8,100.5,148.3,1.3,1759.279441,10.11751175,70.8,1.7,359.1,6.6,1444.6,56.5
1730,47.5,150.1,3.9,1761.075067,3.282211624,70.8,3.1,362.3,9.5,1455.7,12.8
1735.4,57.6,150.3,0.7,1764.162803,18.09480766,70.8,1.9,364.2,7.1,1463.3,129.5
1745.4,37.6,150.4,1.1,1769.985912,15.38576452,71,2.8,365.1,13.5,1476.7,33.5
67.2,1.8,150.4,3.4,1783.105076,20.39886752,71,1.2,365.5,13.9,1493,171.3
67.2,3.7,150.5,1.6,1786.141237,7.896598854,71,1.3,367.3,5.9,1493.3,88.4
69.9,3.1,150.7,1.6,1787.844634,5.085235021,71,1.5,368.3,1.9,1546.1,98.1
70.6,3.8,150.9,1.6,1793.84894,55.89382449,71.2,2.2,369.7,11.1,1654.1,69.6
71.4,6.2,151.7,3.2,1794.960295,10.05756154,71.2,1.6,371,5.5,1686.1,208.9
71.6,4.3,152.1,2.2,1797.139837,8.484872269,71.4,1.7,372.5,11.7,,
72,2.5,152.2,0.9,1801.89508,7.799877945,71.5,2.1,373,4.5,,
72.9,1.3,152.2,1.7,1850.535365,17.04397415,71.5,3.5,375,4.9,,
75.6,2.4,152.3,3.5,1864.492684,8.583991037,71.6,1.4,376.1,5.9,,
77.6,3,152.5,3.6,1888.560426,49.90486873,71.6,2.5,376.3,1.8,,
79.3,2.8,152.6,2.1,1996.303613,10.67631177,71.7,1.9,376.6,4.4,,
79.3,3,152.6,0.8,2435.342377,3.166229797,71.8,1.7,377.5,6.8,,
80.8,3.1,152.7,1.3,2518.950412,5.66809461,71.8,2.5,377.5,5.5,,
81.4,5.1,152.9,2.1,2626.363351,6.013953393,71.9,1.3,377.7,7.1,,
81.6,4.1,153.1,1.7,2651.44569,6.108363728,71.9,1.5,378.7,8.6,,
84.6,2.7,153.7,1.7,2709.6858,2.185462829,71.9,2.9,381.3,17.3,,
86.7,3.6,154.4,3.6,2740.559501,6.106755511,72.1,3,381.3,5.9,,
92.1,1.5,154.5,2.7,2759.08084,15.36322656,72.2,1.3,382.8,9.5,,
92.7,2.5,155.5,1.7,3081.164006,51.29005755,72.3,2.4,383.5,18.4,,
97.6,3.7,155.8,3.8,71.84535858,8.782744172,72.4,1.5,383.7,7,,
99.2,2.2,155.8,0.8,74.10650206,7.132912967,72.5,2.9,384.4,5.4,,
103.5,4.5,156.2,1.5,83.37007174,2.264907383,72.9,1.7,385,11.9,,
117.2,10.8,156.7,2.2,84.11947304,11.6621689,72.9,3.9,386,11,,
121.1,7.5,157.3,1.3,84.23380836,8.862992535,73,1.4,386.4,12.5,,
121.9,4.2,158.2,1.6,86.17000529,0.840085711,73,2.4,386.4,5.8,,
124.1,4.9,159,3.1,86.36966171,1.863366598,73,1.9,388.4,12.7,,
125.1,2.9,159.2,0.8,86.77881007,4.157322116,73,1.9,389.8,9.4,,
125.3,4.9,159.5,3.5,86.97464482,6.199450021,73.1,3.6,390.2,4.4,,
125.8,8.4,159.7,2.7,89.89932602,8.584913657,73.1,2.6,392.3,4.2,,
128.5,4.5,160.3,1.9,91.11606968,4.708625453,73.1,3,393.7,6.4,,
130.2,11.7,160.9,2.4,432.904176,20.17739471,73.3,1.9,394.2,6.7,,
135.6,4.8,161.7,1.6,455.371021,15.1049196,73.4,1,394.3,14,,
136.9,4,161.8,1.9,465.2640646,16.79320573,73.5,1.7,394.5,10.1,,
142.4,5.9,162.2,0.8,468.2419596,20.73534599,73.5,5.6,396.2,15.3,,
145,5.6,162.4,3.2,472.1984231,27.77197409,73.6,3,396.3,20.9,,
149.3,5.9,162.6,3.2,492.2393831,11.01579356,73.6,2,396.6,9.8,,
152.9,5,163.3,3.1,1023.968148,149.5806296,73.6,2,397,5.4,,
158,4.9,163.4,1.6,1024.398023,46.04106434,73.7,2.5,400.7,7.8,,
159.7,2.3,163.6,1.2,1026.762158,29.60716958,73.8,2.9,402.5,3.1,,
162.2,4.6,163.9,2.3,1030.811834,54.31607273,73.9,1.9,402.5,6.2,,
166.6,6.2,163.9,3,1039.881946,129.9932617,73.9,2.7,402.6,7.2,,
168.8,11.7,164.1,1.1,1089.354866,23.25262734,74.1,2.7,403.2,7.6,,
172.8,10,164.1,1,1151.327682,28.45631589,74.3,2.2,403.3,9.2,,
173.4,5.6,165.1,1.5,1182.834738,40.29473813,74.3,3.1,403.8,12.6,,
187.5,8.5,165.5,2.8,1210.351124,45.32629868,74.4,1,404.3,13.3,,
241.2,8.7,165.9,6,1261.884764,159.9787237,74.6,1.5,404.4,4.7,,
246,7.4,166,1.7,1351.041778,11.45915453,74.6,2.4,404.5,4.4,,
247.2,8.8,166,2.3,1381.674835,15.42641402,74.8,3.2,404.6,3.9,,
254.4,3.1,166.1,2.2,1391.359239,10.9319412,74.9,2.8,405.5,4.8,,
257.3,7.1,166.2,1.3,1407.159939,73.52266419,74.9,2.5,406.2,5.3,,
284.1,3.5,166.3,1.7,1447.92752,21.9396479,74.9,1.2,406.3,8.7,,
346.2,12.7,166.4,3.6,1463.819151,41.13699054,75.1,0.9,406.9,5.3,,
364,7.3,166.4,5.2,1483.171933,11.26906806,75.1,2.5,407.8,16.1,,
387.9,19.1,166.8,4.5,1520.804398,14.10415395,75.1,3.8,408.1,5.1,,
429.8,14.2,167.1,5.6,1532.98287,6.257445832,75.2,2.4,408.2,4.8,,
442.8,36.6,167.2,6.2,1602.359671,48.38465435,75.3,1.8,408.7,4,,
447.1,13.5,167.5,5.9,1662.34118,20.52864615,75.4,3.2,409,14.3,,
462.7,18.8,168.1,1,1664.768427,18.6767047,75.5,1.7,409.3,5.8,,
475.6,26,168.4,12.1,1687.266282,5.809841747,75.7,2.1,409.8,9.4,,
494.6,9.3,168.6,1.7,1693.159448,8.062569972,75.8,2.1,409.8,11.9,,
519.5,12.3,168.8,4,1694.099012,10.61483867,76.1,3.1,410,4.2,,
564.8,11.5,169.1,1.2,1696.288803,15.30811687,76.2,1.2,410.5,13.5,,
570,19.9,169.2,1.6,1696.607026,23.26234211,76.3,0.7,410.6,5.2,,
929.4,24.6,169.4,2,1701.140624,9.53407249,76.5,1.4,410.8,2,,
938,32,169.5,2.6,1708.409168,15.55793993,76.7,2.9,411.3,11.5,,
1033.9,27.9,170.1,3.4,1708.939568,21.75677899,76.7,0.8,411.5,5.8,,
1064.3,21.5,170.3,2.9,1710.836667,18.1356284,77.1,2.3,412.1,10.6,,
1082.4,22.8,170.7,9.7,1713.267007,20.48417341,78,3.1,412.2,15.5,,
1100,22,171,2.1,1715.371396,20.05303767,78.2,1.8,412.5,10.2,,
1101.8,34.4,171,2.5,1717.216927,20.07994098,78.3,2.4,412.6,6.4,,
1208.3,22.1,171.1,1.4,1718.437338,10.41297229,78.5,3.8,412.7,6.2,,
1810.9,18.7,171.8,5.3,1721.058792,7.45267361,78.7,1.1,413.6,5.1,,
1843.9,18.8,172,1.2,1721.490965,18.35271397,78.7,1.3,414,15.7,,
1844,45.6,172.1,4.8,1721.636841,27.07967992,79,1.1,414,9.9,,
1950.9,54,172.6,5.3,1725.174834,11.12843091,79.1,1.1,414.2,11.7,,
2007.3,52.4,172.9,2.5,1726.849964,7.176167256,79.3,2.8,414.5,6.2,,
2073.4,19.4,173.1,2.2,1729.038675,23.47418899,79.7,1.5,414.5,2.9,,
2103,17.8,173.3,3.2,1734.354958,19.9012485,79.9,5.4,415.1,12.1,,
2112.7,17.8,173.4,1.2,1736.153658,13.98084246,80.1,0.6,415.7,10.3,,
2942.9,20.9,173.9,1.8,1737.917234,14.55074213,80.2,0.9,416,21.5,,
74.7,1.9,173.9,4.7,1743.136429,14.84357523,80.2,1.9,416.3,3.5,,
76.7,2.1,174.1,7.3,1765.946607,9.917385161,80.5,1.8,416.4,8.4,,
78.5,3.1,174.6,2.6,1766.752472,8.975262159,81,2.7,416.6,5.4,,
79.9,1.2,174.6,3.2,1775.75819,24.82407276,81.2,1.1,416.6,7.6,,
79.9,1,174.8,4.3,1776.962182,17.40078764,81.2,0.6,417.2,6,,
80.6,4.3,175.4,2.5,1784.110552,12.62055385,81.4,1.7,417.3,5.4,,
80.6,1.4,176.1,5.8,1786.705874,17.2179476,81.6,1.5,417.6,5.8,,
82.2,3.2,177.2,3.3,1788.606467,11.96809869,82.2,1.3,417.6,6.4,,
82.4,2.7,177.2,1.3,1812.69472,8.5141804,82.5,2.9,417.6,4.2,,
84.2,5.3,178.1,2.9,1830.588783,26.64856709,83.2,1.8,418,4.4,,
85.2,2.4,178.3,3.2,1835.91809,33.7784201,83.5,1.2,418,8.5,,
87.6,1,178.5,2.4,1843.161275,27.1337092,83.7,3.2,418.7,5.8,,
88.1,3.8,178.6,2.4,1843.169922,30.05378699,84,1.8,419.7,5,,
88.7,2.9,178.9,6.4,1845.250358,104.2190522,84.1,2.7,419.9,7.2,,
152.6,4.7,179.8,2.2,1850.088893,15.96241974,84.1,1.5,420,4.1,,
155.4,7.7,179.9,3.6,1873.690794,30.34850729,85.2,0.9,420,4.1,,
155.7,3.4,179.9,5.5,1916.799082,23.27033352,85.3,0.7,420.2,4.1,,
157.2,3.1,180.4,3.1,1926.333934,31.79529227,85.6,1.6,420.6,6.7,,
157.5,4.6,180.4,1.8,1936.513651,13.81363498,85.9,1.7,420.8,9.8,,
158.4,4.1,181.2,2.4,1938.185187,23.75420315,86.1,2,421.5,4.1,,
161.2,4.1,181.8,10.1,2014.187632,28.05358962,86.7,1.4,422.1,4.5,,
166.6,10.2,182,2.3,2144.852001,3.818427388,87.9,2.4,422.1,14.6,,
167.6,6.3,182.3,1.8,2324.720224,5.623757153,89.5,4.1,422.3,7.9,,
169.8,8.2,183.2,1.3,2455.072543,5.422338463,89.7,2.5,422.7,13.1,,
173.8,5.7,183.4,4.7,2493.627536,10.73827008,91.1,8.1,422.9,4.8,,
214.4,5.2,184.6,3.3,2494.563001,12.51970322,91.2,2.1,422.9,11.5,,
239.3,5.9,185.2,1.6,2566.911612,5.366103749,92.2,1.6,423.2,18.7,,
239.5,9.9,186.1,8.1,2586.682779,3.910166815,92.4,2.2,423.8,5.5,,
249.6,6.6,186.8,3.6,2626.305866,11.51688946,92.7,1,423.9,5.5,,
278.9,7.5,187.1,3.8,2633.767147,10.92454062,93.4,0.6,423.9,3.8,,
300.8,19.1,188.1,3.3,2709.620126,9.145136639,93.4,2.1,424.4,8.7,,
390.7,8.8,188.2,5.1,2711.669048,14.40240729,93.5,2.2,424.5,6.9,,
436.3,8.2,188.4,6.1,2720.344807,6.267909331,94.3,1.1,424.5,4.6,,
439.9,8,189.2,0.9,2724.3112,19.35441994,95.5,2.4,424.7,8.2,,
457.1,7.5,189.3,3.4,2765.976386,8.466637472,96.2,2.3,425.3,8.6,,
457.9,5.9,189.6,0.9,2770.286642,3.649078059,96.5,2.6,425.8,5.9,,
458,13.9,190.2,3.7,2776.464081,8.862325661,96.6,5.3,426.1,21.1,,
471,23.7,190.8,3.5,2787.509789,12.18008162,96.8,2.5,426.1,9.1,,
483.1,7.4,190.9,4.3,2887.321087,25.70890478,96.9,2.6,426.7,7.6,,
505.7,11.8,191,1.9,3090.511027,20.07776184,97.1,3.1,427.7,7.5,,
507.5,28.4,191.1,2.4,83.9,4.1,97.1,1.7,428.6,29.6,,
538.9,18.2,191.2,2.5,93.3,2.3,97.2,2.5,429.4,4.2,,
573.4,16.2,191.4,3.7,93.8,1.7,97.5,2.1,430.4,6.9,,
597.2,40.6,191.7,1.3,94.2,1.6,97.7,0.8,430.9,5.8,,
709.7,9.6,191.8,6.3,97.8,2.4,97.8,1.3,431.2,5.6,,
761,8.7,192.4,2.3,98.5,3.8,98,2.1,432,9.3,,
789.9,15.3,194,3.5,98.9,2.3,98,2.4,432.4,4.2,,
804,25,194.4,3.9,99.2,2.4,98.1,1.5,432.5,4.7,,
912.6,44.8,194.4,5.5,102.6,4.4,98.2,3.2,432.9,11.5,,
920.1,37.3,197.9,3.2,103.6,1.7,98.6,2.5,432.9,12.3,,
970.8,81.6,204,8.2,105.1,6.8,98.7,1.6,433.5,10,,
1031.8,34.9,205.8,5,118.4,4.8,98.8,2.2,434.7,9.1,,
1049.4,30.3,206,3.9,159.9,6.9,98.8,5.5,435.1,9.8,,
1057.1,30,207,3.9,235.3,6.9,98.8,1.8,435.3,4.7,,
1084.4,28.7,209.4,5.4,344.2,6.5,98.8,2.5,437.2,18.7,,
1104.3,25.4,211,3.2,400.5,4.4,98.9,5.5,437.4,9.9,,
1125.1,33.6,211.6,4.8,443.7,10.8,99,1.4,437.4,6.6,,
1135.5,35.8,213,5.8,588.1,18,99,3.4,437.5,4.2,,
1180.3,23.1,215.6,4.1,678.7,14.9,99,1.4,437.6,4.5,,
1225.2,19.8,217,3,691.6,24.5,99.1,3.4,438.1,4.4,,
1299.6,48.9,217.3,4.8,720.5,9.7,99.1,2.1,439.4,3.1,,
1301.9,45.4,217.8,11,982.2,18.4,99.2,1.9,439.5,4.9,,
1381.8,26.6,217.9,4.9,1044.2,21.8,99.3,3,440.6,7,,
1460.1,30.6,218.7,4.5,1053.4,18.1,99.3,3.8,441.1,7.7,,
1588.5,23.6,219.5,2.2,1076,32.6,99.4,1.9,441.4,15.7,,
