Mexican data set (Lawton et al. 2009),1 sigma,"Mogollon Highlands (Laskowski et al., 2013)",1 sigma,TSA3 Composite (May et al. 2013),1 sigma,Arc Laskowski et al. 2013,1 sigma,Mesozoic Eolianites,1 sigma,late Paleozoic Appalachian basin Washington Fm,1 sigma
1953.8,78.4,1724.7,33.3,100.5,1.9,,,1067.8,43.8,,
2205.9,627.7,1725.9,13.2,100.8,1.4,,,1068.2,36,,
2761.1,55.5,1726,26,100.9,2.3,,,1068.5,47.3,,
2774.8,44.9,1726.8,51.4,101.1,2.4,,,1069.2,20.1,,
3037.1,43.9,1727.1,18.4,101.3,2.4,,,1069.7,62.9,,
78.8,1.1,1728,29.2,101.4,1.8,,,1069.8,86.7,,
79,2.7,1730.8,18.9,101.7,2.2,,,1069.8,31.5,,
80.9,1.2,1730.9,33.7,101.9,2,,,1070,43.6,,
81.6,1.1,1731.5,36.6,102,3.1,,,1070.5,134.6,,
85,1.3,1732.2,16.5,102.1,1.8,,,1070.9,46.7,,
85.2,2,1733.5,18.5,102.2,3.8,,,1071.5,48.9,,
85.4,1.1,1733.6,12.9,102.4,2.6,,,1071.7,38.6,,
88.1,1.8,1734.7,28,102.4,2.6,,,1072,66.2,,
88.8,2.1,1735.1,18.4,102.7,4.6,,,1073.2,71.3,,
89.4,1.5,1738,18,102.7,6.7,,,1073.2,21.2,,
92.3,2.9,1738,14.2,102.9,4.7,,,1073.3,85.2,,
93.1,1.7,1738.3,18.9,103,2.6,,,1073.9,35.8,,
93.8,1.8,1738.3,32.5,103.6,2.6,,,1074.7,48.7,,
98.3,1.2,1738.6,12.9,103.8,5.4,,,1075.1,20.1,,
98.9,1,1739.4,14.7,103.8,2.5,,,1076,37,,
101.7,5.7,1740.2,13.8,103.8,6.3,,,1076.3,51.2,,
103.5,1.1,1740.6,12.8,104,5.8,,,1076.3,27.9,,
104,2.8,1740.7,92.3,104,1.7,,,1077.2,29.4,,
112.8,2.8,1740.9,12.8,104.4,2.2,,,1077.3,59.9,,
115.4,4.8,1741.7,13,105.7,4,,,1077.3,41.8,,
115.6,1.1,1742.1,15.8,106.3,1.4,,,1077.3,60.9,,
117.1,1.9,1742.5,23.8,110.7,5.9,,,1077.5,68.4,,
119,3.6,1742.6,13.1,111.2,8.5,,,1077.6,28.1,,
129.9,2.6,1742.8,14.2,114.4,6.7,,,1077.7,49,,
130,10.8,1743.6,27.7,149.6,14,,,1078.1,40.1,,
130,1.3,1745.1,12.8,161.5,4.8,,,1078.7,15.2,,
131.1,3.3,1745.4,15.6,166.9,5.9,,,1079,20,,
131.4,3.6,1745.8,28.2,524.2,14.2,,,1079,21.1,,
132.4,3,1746.7,13.6,1104.3,20,,,1079,30.9,,
132.6,2,1746.7,17.4,1481.7,19.1,,,1079.5,25.6,,
133,2.3,1746.8,23.3,1594.9,7.8,,,1080.1,48.7,,
134,2.7,1747.3,13.5,1752.3,8.6,,,1080.3,100.6,,
137.1,1.6,1748,26.6,1786.9,11.9,,,1080.5,42.4,,
139.8,3.4,1748.9,23.6,1786.9,19.3,,,1080.8,40.3,,
140.1,3.1,1749,18.4,1788.8,53.6,,,1081,54.2,,
140.4,3.2,1751,21.8,1791.6,13.4,,,1081.1,60,,
142.4,1.4,1751.1,17.3,1800.1,30.6,,,1081.4,58.5,,
144.7,1.6,1752.2,17.1,1805,16.6,,,1083.5,24.5,,
148,2,1752.4,18.3,1843.9,13,,,1083.9,48.4,,
149.8,1.5,1752.6,13.3,1845.4,10,,,1084.2,27.5,,
150.7,3.4,1753.3,16,1859,12.8,,,1084.4,21.4,,
155.1,3.1,1753.7,12.9,1860.6,15.3,,,1084.4,54.7,,
160,4.7,1753.9,13,2275.4,20.8,,,1084.6,42.4,,
162.9,2,1754,30.9,91.2,3.1,,,1086.3,65.4,,
175.6,1.8,1754.4,12.9,91.4,2,,,1086.4,33,,
235.5,7.1,1754.6,52.3,93,6.5,,,1086.8,39.9,,
262.9,4.7,1754.9,24.4,93,2.8,,,1086.9,64.3,,
325.5,3.2,1756.1,18.3,93.3,2.4,,,1087.2,36.4,,
354.8,3.5,1756.3,22.2,94.1,1.3,,,1087.4,20,,
364.7,11.3,1756.6,13.6,94.3,2.2,,,1087.7,97.9,,
383,5.7,1756.7,14.2,94.7,2.4,,,1088,34.9,,
398.2,9.6,1758.6,18.5,95.8,1.7,,,1088.2,50.6,,
405.5,6.9,1761,26,95.8,4.8,,,1088.4,51.5,,
506.8,11.6,1762.9,42.2,96.8,2.5,,,1089,91,,
509.1,9.2,1765.6,12.8,97.5,2.5,,,1089,75,,
539.1,7.7,1766,18.3,97.6,3.9,,,1089,38.8,,
551.4,6,1766.5,32,98,2.5,,,1089.5,41.1,,
588.7,8.8,1767,34.4,98.1,2.2,,,1090.2,38.7,,
598.6,5.7,1768.1,20.5,98.2,3,,,1090.7,63.7,,
992.1,37.8,1769.5,15.9,98.4,3.2,,,1091.1,93,,
1003.8,58.9,1769.9,18.3,98.6,1.5,,,1091.5,92.3,,
1026.1,47.3,1773,14.7,99.5,4.4,,,1091.7,54.5,,
1089.3,77.2,1774.3,55,100.1,3.3,,,1092.1,28.2,,
1100.5,55.4,1775.4,56.1,101.4,2.2,,,1092.1,49,,
1146.4,58.8,1780.6,31.6,101.4,4.2,,,1092.5,20.1,,
1148.8,24.8,1781.1,46.2,102.2,4.5,,,1092.5,36.3,,
1155,32.4,1781.1,92.1,104.1,5.8,,,1092.6,35.6,,
1168.8,19.8,1783.9,33,108.4,5.6,,,1092.8,34.1,,
1176.9,57.4,1787.2,62.6,158.1,6.5,,,1093,20,,
1186.3,50,1788.5,29.7,305.7,18.8,,,1093.2,51.4,,
1291.9,32.5,1791.8,100.9,436.1,15.3,,,1093.2,63.9,,
1387,42.5,1801.1,23.5,436.2,10.4,,,1093.9,67.2,,
1394.3,43.9,1804.2,28.2,493.4,13.4,,,1094,21.3,,
1416.9,45.5,1805.7,18.3,613.5,26.6,,,1094,42.8,,
1542.5,71.3,1808.2,20.6,980.3,13.9,,,1094.2,20.5,,
1595.5,43.9,1808.9,118.4,984.4,28.2,,,1094.4,78.1,,
1638.7,38.1,1812.4,48,993.3,81.2,,,1094.7,66.5,,
1660.9,70.2,1819.2,26.5,1056.6,21.7,,,1095,48.3,,
1674.6,56.8,1820.7,61.7,1240.2,13.3,,,1095.2,20.8,,
1686.4,18.5,1821,73.3,1383.7,7.2,,,1095.4,53.1,,
1696.5,53.3,1821.8,38.5,1411.4,42.2,,,1095.9,41.5,,
1733.4,52.5,1825,32,1421.2,16.3,,,1096.1,20.1,,
2306.4,42.1,1831.5,26.8,1457.7,9.4,,,1097,34,,
58,3.4,1836,33,1636,10.7,,,1098.3,37.5,,
60.8,1.4,1836.8,19.2,1646.7,17.9,,,1098.4,20.4,,
61.5,4.6,1841.1,16.5,1651.7,11.8,,,1098.8,20.2,,
61.9,1.2,1841.3,69.5,1683.2,10.9,,,1098.8,42.5,,
62.1,0.8,1850.3,12.7,1715.7,7.6,,,1099.1,52.3,,
62.4,1.8,1855,41.5,1738.5,14.2,,,1099.5,24.5,,
63,4.3,1862.6,18.1,1748.3,10.2,,,1100.2,23.7,,
63.1,1.4,1872.5,82.5,1756.2,16,,,1100.6,64.1,,
65.7,2.4,1878.5,25.1,1756.5,17.2,,,1100.9,20.1,,
69.5,2.2,1884.5,103.3,1759,14.9,,,1101.3,45,,
69.7,1.8,1893.3,16.4,1774.4,74.8,,,1101.4,33.1,,
69.9,2.9,1903.6,43.6,1776.7,7.9,,,1101.8,21.5,,
71,4.1,1911.8,15.8,1777.8,7,,,1102.2,20,,
71.1,3.1,1913.3,38.2,1779.5,8.9,,,1102.9,36.9,,
71.3,3.4,1916.8,15.6,1779.9,10.6,,,1103.9,94.1,,
71.6,1.7,1929,30,1784.5,9.8,,,1104,20,,
72.5,1.7,1942.5,27.7,1788.2,12,,,1105.6,33.3,,
73.5,6,1958.4,27,1788.8,8.9,,,1105.9,32.5,,
74.1,5.2,1963,10.7,1800.7,15.3,,,1106.1,61.4,,
74.3,2.5,1967.2,36.9,1801.6,22.4,,,1106.2,83.7,,
74.3,6.1,1985.3,23.1,1804.7,8.4,,,1106.3,42.1,,
75.4,6.2,2004.2,46.2,1806,17.3,,,1107,27,,
76.8,3.5,2031.7,38.2,1807.6,16.3,,,1107.4,32.2,,
78.9,3.1,2041.8,147,1816.9,7.8,,,1107.5,48.6,,
79.8,5.8,2053.5,28.1,1833.1,45.9,,,1107.7,57.4,,
80.3,5.8,2098.6,23.5,1836.5,41.3,,,1108,25.6,,
80.8,2.6,2101.3,33.9,1837.1,6.8,,,1108.3,51.6,,
85.5,3,2103,12,1844.9,23,,,1108.4,82.1,,
86,3.1,2196.4,41.4,1845.5,6.6,,,1108.4,54.9,,
87.1,5.4,2512,12,1851.8,12.7,,,1108.6,34.9,,
87.5,1.8,2609.2,86.7,1854.5,8.2,,,1109.5,22.5,,
87.8,2.5,2724.5,16.5,1869.4,108.6,,,1109.8,36.8,,
87.8,2,2748.5,12.5,1911.7,23.7,,,1112.1,27.7,,
88.8,4.2,2757.4,31.5,1921,7.1,,,1112.2,42.5,,
158.7,4.1,2760.2,40.2,1923.2,18.9,,,1112.3,48.2,,
161.1,6,2766.7,16.4,1959.8,5.8,,,1112.3,44.1,,
163.3,2.5,2793.1,27,1975.6,5.1,,,1113,31,,
164.4,4.5,2806,11,2066.3,14.1,,,1113.9,37.3,,
165.7,3.1,2869.5,64.8,2081.3,22.4,,,1114.2,80.5,,
167.5,8.7,2871.8,36.6,2087.6,15.8,,,1115.3,54.4,,
171.3,6.1,2885.9,16.2,2110.7,16,,,1116,37.5,,
171.8,10.6,,,2507.6,6.1,,,1116.3,32.7,,
172.1,3.7,,,2508,8.1,,,1116.5,66.1,,
181.7,7.1,,,2570.5,7,,,1116.5,25.4,,
200,7.2,,,2682.9,7.2,,,1117.3,27.7,,
250.3,11.8,,,2704.5,7.8,,,1117.7,68.3,,
260.2,12.8,,,2706.9,4.4,,,1118.3,56.8,,
291.6,5.6,,,2733.4,15.7,,,1118.7,57.1,,
484.7,14.8,,,2766.5,9.5,,,1119.1,54.3,,
493.4,9.7,,,2770.5,10.4,,,1119.4,20.7,,
493.5,31.8,,,2801,7.5,,,1120.5,74.7,,
592,18.7,,,2809.2,8.2,,,1121,50.9,,
603.7,27.1,,,2810.5,11.5,,,1121.2,36,,
619.7,10.4,,,2816.3,4.7,,,1121.2,36.1,,
1009.5,53,,,2890,6.4,,,1121.6,68.7,,
1012,49.8,,,2923,8.5,,,1121.9,69.6,,
1053.4,20.6,,,88.9,3,,,1122.7,19.3,,
1061.4,20.2,,,89.9,6.5,,,1122.8,54.1,,
1107.2,25.4,,,90.6,0.8,,,1123.3,41.7,,
1122.5,20,,,90.8,1.9,,,1123.6,23.4,,
1253.6,51.7,,,93.2,1.5,,,1123.7,59.9,,
1411.2,43.2,,,93.2,2.8,,,1124.5,35.8,,
1474,39.2,,,94.6,3.7,,,1125.2,57.3,,
1503.5,40.5,,,95,3.5,,,1126.4,20,,
1540,26.5,,,95.4,2.8,,,1126.5,20,,
1654,45.2,,,95.6,2,,,1126.5,24.3,,
1678.8,26.2,,,96.6,1.9,,,1126.5,62.2,,
1686,19.8,,,96.8,3.5,,,1127.1,80.8,,
1687.8,39.3,,,97.2,3,,,1127.1,56.6,,
1698.5,52.2,,,97.5,1.8,,,1127.3,22,,
1704.3,31.1,,,97.8,4.5,,,1127.6,30.1,,
1727.6,18.4,,,97.9,5.1,,,1127.9,50.9,,
1747.8,36.4,,,98.1,4.3,,,1128,21.3,,
1754.1,30.9,,,98.7,3.7,,,1129.9,27.8,,
1759.9,42.1,,,99.1,2.8,,,1130,12.5,,
1766,36,,,99.6,4.3,,,1130,113,,
1770.1,30,,,99.7,1.7,,,1130.8,33.4,,
1777.7,27.8,,,101.4,5.5,,,1132,71,,
1789.7,29.8,,,101.9,3.7,,,1132,49.5,,
1792,30.9,,,102.1,4.9,,,1133.5,57.4,,
1823.9,54.6,,,103.2,3.1,,,1133.7,90.5,,
1832.7,41.3,,,104.3,4.4,,,1133.9,25.8,,
2590.3,16.7,,,104.6,3.7,,,1134.2,81.1,,
2619,24.1,,,440.1,9.6,,,1134.9,28.9,,
2708.8,18.3,,,605.3,11.6,,,1135,31.1,,
2747.8,17.9,,,1768.4,14.9,,,1135.4,40.2,,
72.3,2.4,,,1916.1,13,,,1135.5,32.7,,
74.7,2.1,,,2682.2,4.4,,,1136.3,58.1,,
76.2,1.5,,,96.3,1.8,,,1137,7.5,,
76.6,2.8,,,96.5,1,,,1137,30.5,,
77.6,1,,,96.5,2.7,,,1137.2,63.3,,
77.7,1.2,,,96.6,1,,,1137.7,80.5,,
79.4,3,,,96.6,2.3,,,1138.1,26.3,,
80.3,0.9,,,96.6,1.4,,,1138.6,38.2,,
80.3,2.4,,,96.7,1,,,1140.3,49.1,,
80.6,2.4,,,96.7,1.3,,,1141,70.1,,
81.4,2.1,,,96.8,2.4,,,1141.7,95,,
81.7,2.3,,,96.9,2.4,,,1142.2,19.9,,
81.8,3.2,,,97,2.5,,,1142.3,27.1,,
82.4,5,,,97.2,2.4,,,1142.9,61.9,,
85.5,3.8,,,97.3,1.5,,,1143.7,97.6,,
87.5,1.6,,,97.5,2.1,,,1144.2,34.4,,
88.9,4.2,,,97.6,1.4,,,1145,37.7,,
89.1,2.9,,,97.6,1,,,1145.1,34.3,,
89.3,2,,,97.7,3.1,,,1145.5,26.1,,
90.8,2.1,,,97.7,1,,,1145.6,35.4,,
91.5,3.1,,,97.8,1.6,,,1146.2,44.6,,
91.8,3.6,,,98,3.9,,,1146.4,19.9,,
96.2,0.9,,,98.1,1,,,1146.5,63.6,,
98.5,3.2,,,98.1,1.3,,,1147.6,28.9,,
100.1,3.2,,,98.1,1.1,,,1147.7,23.7,,
101.4,2.3,,,98.2,3.6,,,1148,32,,
101.9,6.8,,,98.2,3.5,,,1148.7,57.1,,
102.5,4.6,,,98.2,1.1,,,1149.2,19.9,,
104.3,2.7,,,98.3,1,,,1150.2,45.5,,
121.1,3.1,,,98.3,1,,,1150.5,33.4,,
125.9,4.8,,,98.5,1.3,,,1151.2,63.9,,
128.7,1.4,,,98.6,1,,,1152,86.3,,
129.8,3.3,,,98.7,1.7,,,1152.4,68.5,,
130.7,8.9,,,98.7,2.6,,,1154.1,44.7,,
131.5,2.3,,,99,1.1,,,1154.4,36.7,,
131.5,1,,,99.3,1.7,,,1154.4,36,,
131.5,2.8,,,99.5,1.5,,,1154.4,52.8,,
131.8,3.1,,,99.6,1,,,1154.7,27.3,,
133,3.4,,,99.7,1,,,1155,43,,
133.3,2.5,,,99.9,1.7,,,1155.1,32.2,,
135.2,3.3,,,99.9,1,,,1155.2,37,,
139.6,4.8,,,100.2,2.3,,,1155.3,44.1,,
140.4,8.9,,,100.5,1,,,1156,44.2,,
143.5,9.6,,,100.5,1,,,1156.3,30.9,,
153.1,2.9,,,100.6,1,,,1158,46,,
154.7,12,,,101.1,1,,,1158.5,20.5,,
155.5,3.1,,,101.1,1,,,1159.3,38.8,,
158,5,,,101.5,4,,,1159.8,20.4,,
158.2,6.1,,,101.6,1,,,1159.8,20,,
159,1.9,,,101.8,2.2,,,1160.4,43,,
160.2,2.9,,,101.9,1,,,1160.5,35.1,,
165.1,1.9,,,102.1,2.2,,,1161.1,40.5,,
201.2,4.2,,,102.2,1,,,1163.7,22.9,,
209.6,3.6,,,102.6,1.2,,,1163.9,116.3,,
237,3.8,,,102.7,1,,,1164,53.6,,
244.6,3.9,,,102.9,1,,,1164.9,19.8,,
255.3,7.6,,,102.9,1.1,,,1165,26,,
262,5.4,,,103.1,2.2,,,1165.6,54.8,,
264.8,6.1,,,103.2,1.5,,,1165.8,37.7,,
273.3,3.7,,,103.8,1,,,1166,64,,
293.5,13.9,,,103.8,1.3,,,1166.1,59.2,,
396.1,18.3,,,104,1.1,,,1166.4,19.8,,
404.7,9.2,,,106,1.1,,,1166.4,109.2,,
423.8,14.6,,,109.4,1.3,,,1166.5,68.3,,
430.6,12.4,,,111.4,1.1,,,1166.9,30.7,,
482.8,24.6,,,115,1.4,,,1167,35,,
553.8,16.2,,,115.4,1.9,,,1167.7,19.8,,
578.6,15.4,,,120.4,1.5,,,1167.9,19.8,,
638.5,11.3,,,134.9,1.5,,,1167.9,19.8,,
667.9,38.1,,,143.1,3.6,,,1168.3,83.4,,
846.2,21.2,,,157.1,1.6,,,1170.5,85.8,,
862.5,29,,,157.1,1.6,,,1170.9,59.7,,
1024.8,30.3,,,290.4,18.7,,,1171,85.7,,
1080.9,64.8,,,1051.9,57.2,,,1171.4,20.8,,
1168.4,34.4,,,1649.6,59.5,,,1171.5,26,,
1201,26.4,,,1703,40.9,,,1171.9,78.5,,
1211.5,53.9,,,1792.9,22.8,,,1172.1,43.2,,
1218.5,19.7,,,1799.3,25.8,,,1172.2,27.5,,
1279.4,24.4,,,1808.1,18.2,,,1172.3,43.4,,
1369.4,29.3,,,1810.7,31.1,,,1172.6,25.5,,
1438.8,21.2,,,1811.7,36.7,,,1173.1,22.7,,
1730.5,52.1,,,1818.7,19.8,,,1173.2,74.8,,
1753.7,30.8,,,1831.3,27.7,,,1173.8,33.1,,
1809.5,46,,,1849.8,23.5,,,1174.1,75.8,,
1816.9,21.8,,,1864,18.1,,,1174.1,33.7,,
1840.7,30.6,,,1873.1,18.2,,,1174.3,30.9,,
2701.2,28.4,,,1875.3,21.1,,,1174.4,61,,
56,3.2,,,1875.4,34.3,,,1174.5,72.7,,
57.6,2.6,,,1877.1,32.8,,,1175.4,41.6,,
58.7,2.4,,,1877.4,30.6,,,1176,31.7,,
58.7,2.1,,,1905.4,18,,,1176,40.8,,
59,3.3,,,1912.3,23.2,,,1176.3,38.8,,
59.2,2.7,,,1955.9,23,,,1177.3,31.8,,
62,1.6,,,1963.1,31.8,,,1177.6,19.8,,
62.2,3.1,,,1990.8,20.1,,,1178.3,19.8,,
63.7,5.5,,,2126.9,31,,,1178.6,36.4,,
65.6,1.5,,,2267.3,59.3,,,1178.7,19.8,,
65.8,4,,,2467.4,31.8,,,1178.8,72.2,,
66.2,5.4,,,2513,36.3,,,1179.5,21.9,,
68.3,1.6,,,2723.1,24.4,,,1179.8,22.1,,
68.4,3.4,,,2731.6,16.5,,,1180,34.5,,
68.9,1.7,,,85,11.3,,,1180.5,73.4,,
69.5,1.7,,,85.8,10.7,,,1180.7,30,,
70,3.7,,,89.4,7.8,,,1180.8,42.4,,
71.5,3.8,,,89.7,3.8,,,1181.2,27.2,,
71.5,2.9,,,91.6,2.8,,,1181.3,20,,
71.6,1.9,,,91.7,1.7,,,1181.4,28,,
74.8,4.6,,,92,6.1,,,1181.7,76.8,,
75.2,4.7,,,92.6,8.1,,,1181.9,66.4,,
75.2,5,,,92.7,6.6,,,1181.9,20.2,,
75.9,3.8,,,92.8,11,,,1182.2,19.8,,
76,4.5,,,92.9,3.5,,,1182.4,64.9,,
77.4,7.6,,,93.3,3.7,,,1183.4,55.4,,
77.6,2.2,,,93.6,5.2,,,1183.4,46.1,,
78.3,4.3,,,93.6,1.3,,,1183.7,65.3,,
80.1,5.9,,,94,4.7,,,1184,20,,
81.8,6.8,,,94.4,9,,,1184.7,32.5,,
82.7,1.7,,,95.2,4.8,,,1185.7,27.1,,
82.7,5.7,,,95.2,7.7,,,1185.8,24.2,,
83.3,5.1,,,95.5,4.9,,,1186.6,19.8,,
84.2,7.2,,,95.9,4.9,,,1186.7,19.8,,
87.3,1.9,,,95.9,5.4,,,1187,21,,
89,5.2,,,95.9,7.3,,,1187.1,20,,
89.1,2.6,,,96.2,9.4,,,1188.5,54.7,,
91,6.8,,,96.5,1.9,,,1188.6,38.3,,
91.9,3.1,,,96.6,5.8,,,1188.8,40.8,,
92.9,7.5,,,96.7,1.8,,,1189.9,41.3,,
93.3,1.4,,,97,5.3,,,1190.1,24.7,,
93.9,4.9,,,97.2,2.4,,,1190.3,35.6,,
94,3.4,,,97.3,3.1,,,1190.4,46.1,,
95.6,4.3,,,97.7,4.3,,,1191.1,21.7,,
97.3,3.2,,,98,8.4,,,1192.1,47.4,,
97.4,5.5,,,98,3.1,,,1192.5,21.4,,
98.2,8,,,98.3,2.9,,,1192.6,45.2,,
99.1,4.9,,,98.3,5.4,,,1193.7,77.7,,
137.2,4.4,,,98.8,7.1,,,1193.8,46.3,,
145.7,7.7,,,98.9,4.3,,,1194.2,20,,
153.2,5.2,,,99,6.7,,,1195.3,20.5,,
154.2,5.6,,,99.1,4.1,,,1195.7,19.8,,
162.5,4.7,,,99.1,4.1,,,1195.9,19.7,,
170.3,7.1,,,99.6,7,,,1197.2,19.7,,
176.6,4.5,,,100,3.6,,,1198.4,28.6,,
177,3.5,,,100.3,3,,,1198.6,28.7,,
198.9,3.7,,,100.8,3.4,,,1198.6,82.1,,
207.6,6.5,,,100.8,6,,,1198.6,28.2,,
240.1,10.6,,,100.8,4.6,,,1199.7,60.2,,
257.6,7.8,,,101.9,14.2,,,1200.2,38.1,,
261.2,14.2,,,102.3,4.6,,,1200.7,74.6,,
266.1,13.6,,,102.3,5.2,,,1202.3,26.1,,
273.3,10.4,,,102.4,4.9,,,1203.9,19.7,,
322.1,11.7,,,103.5,5.1,,,1204.7,35.7,,
366.3,9.9,,,104,7.5,,,1205.1,35.1,,
374.3,8.7,,,105.7,9.1,,,1205.3,76.3,,
406.5,6.7,,,107.6,5.3,,,1206.9,23.4,,
409.9,7.7,,,111.2,5.6,,,1208,20,,
422.9,13.3,,,115.6,6.5,,,1208.3,30.4,,
441.2,16.9,,,221,13.8,,,1208.4,13.3,,
442.9,8.3,,,324.1,44.7,,,1208.5,34.5,,
454.8,8.1,,,430.1,5.9,,,1208.7,27,,
517.5,26.7,,,463.9,12.3,,,1211.7,29.6,,
1065.1,49.5,,,614.6,31.9,,,1212,30.3,,
1093.5,24.2,,,643.9,17.4,,,1212.4,48.7,,
1164.3,23.6,,,1020.5,32.3,,,1215.4,36.4,,
1313.5,30.6,,,1021.6,28.8,,,1217,40.4,,
1390.3,28.2,,,1064.7,21.2,,,1218,19.8,,
1395.7,49.6,,,1069.2,68.5,,,1219,19.7,,
1440.4,19.3,,,1164.8,106.9,,,1220.6,74,,
1488.8,44.4,,,1267.7,54.5,,,1220.8,29.9,,
1654.4,18.6,,,1301.2,45.1,,,1221.6,37.7,,
1658.5,46.4,,,1459,39.5,,,1222.3,28.2,,
1670.9,39.9,,,1597.9,30.4,,,1222.7,40.5,,
1678.8,33.6,,,1715.7,20,,,1223.7,46,,
1686.2,30.5,,,1724.7,9.8,,,1224,57.7,,
1699.4,47.5,,,1728.9,11.9,,,1224.1,113.6,,
1729.2,42.9,,,1777.3,10.4,,,1225,39.1,,
1741.7,24.4,,,1780.7,5.2,,,1225.5,31.3,,
1764.3,20.4,,,1780.8,7.2,,,1227.2,29.7,,
2031,17.7,,,1824.4,11.9,,,1228.1,19.7,,
2178.9,49.5,,,1833.7,25.5,,,1229.9,75.3,,
2730.4,18.1,,,1841.9,10.9,,,1231.1,19.8,,
54,1.6,,,1862.3,14.2,,,1231.2,27.9,,
54.4,1.3,,,1869.2,42.6,,,1231.9,25.5,,
54.5,1.1,,,1918.3,10.4,,,1233.1,75,,
54.7,1.2,,,1922.3,20.2,,,1233.8,19.9,,
56,3,,,1931.7,7.7,,,1233.8,30.2,,
56.2,4.6,,,1952.3,8,,,1234.5,34,,
56.5,1,,,1998.5,16.1,,,1234.9,97.8,,
57.4,1.3,,,2072.4,32.3,,,1235.6,47.1,,
57.6,2.4,,,2089.2,11.1,,,1238,24.1,,
57.8,1.7,,,2472.1,19.3,,,1238.7,20.2,,
